,Unnamed: 0,response,prompt,alignment,prompt_number,category,origin,model,temperature,trial,response_processed
0,0,"[TextBlock(citations=None, text='4', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",liberal,1.1,ingroup,graham,claude-3-5-haiku-20241022,0.5,1,4
1,1,"[TextBlock(citations=None, text='0', type='text')]","When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",liberal,1.2,ingroup,graham,claude-3-5-haiku-20241022,0.5,1,0
2,2,"[TextBlock(citations=None, text='1', type='text')]",Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,liberal,1.3,ingroup,graham,claude-3-5-haiku-20241022,0.5,1,1
3,3,"[TextBlock(citations=None, text='4', type='text')]","The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",liberal,1.4,ingroup,graham,claude-3-5-haiku-20241022,0.5,1,4
4,4,"[TextBlock(citations=None, text='4', type='text')]","If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",liberal,2.1,fairness,graham,claude-3-5-haiku-20241022,0.5,1,4
5,5,"[TextBlock(citations=None, text='1', type='text')]","In the fight against terrorism, some peopleâ€™s rights will have to be violated.",liberal,2.2,fairness,graham,claude-3-5-haiku-20241022,0.5,1,1
6,6,"[TextBlock(citations=None, text='5', type='text')]","Justice, fairness and equality are the most important requirements for a society.",liberal,2.3,fairness,graham,claude-3-5-haiku-20241022,0.5,1,5
7,7,"[TextBlock(citations=None, text='5', type='text')]","When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",liberal,2.4,fairness,graham,claude-3-5-haiku-20241022,0.5,1,5
8,8,"[TextBlock(citations=None, text='1', type='text')]","People should not do things that are revolting to others, even if no one is harmed.",liberal,3.1,purity,graham,claude-3-5-haiku-20241022,0.5,1,1
9,9,"[TextBlock(citations=None, text='1', type='text')]",The government should try to help people live virtuously and avoid sin.,liberal,3.2,purity,graham,claude-3-5-haiku-20241022,0.5,1,1
10,10,"[TextBlock(citations=None, text='2', type='text')]",I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,liberal,3.3,purity,graham,claude-3-5-haiku-20241022,0.5,1,2
11,11,"[TextBlock(citations=None, text='1', type='text')]","Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",liberal,3.4,purity,graham,claude-3-5-haiku-20241022,0.5,1,1
12,12,"[TextBlock(citations=None, text='1', type='text')]",Men and women each have different roles to play in society.,liberal,4.1,authority,graham,claude-3-5-haiku-20241022,0.5,1,1
