,response,prompt,prompt_number,category,origin,model,temperature,trial,response_processed
0,"[TextBlock(citations=None, text='5', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,claude-3-5-haiku-20241022,0.5,1,5
1,"[TextBlock(citations=None, text='0', type='text')]","When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,claude-3-5-haiku-20241022,0.5,1,0
2,"[TextBlock(citations=None, text='3', type='text')]",Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,claude-3-5-haiku-20241022,0.5,1,3
3,"[TextBlock(citations=None, text='4', type='text')]","The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,claude-3-5-haiku-20241022,0.5,1,4
4,"[TextBlock(citations=None, text='4', type='text')]","If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,claude-3-5-haiku-20241022,0.5,1,4
5,"[TextBlock(citations=None, text='3', type='text')]","In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,claude-3-5-haiku-20241022,0.5,1,3
6,"[TextBlock(citations=None, text='4', type='text')]","Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,claude-3-5-haiku-20241022,0.5,1,4
7,"[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,claude-3-5-haiku-20241022,0.5,1,4
8,"[TextBlock(citations=None, text='4', type='text')]","People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,claude-3-5-haiku-20241022,0.5,1,4
9,"[TextBlock(citations=None, text='4', type='text')]",The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,claude-3-5-haiku-20241022,0.5,1,4
10,"[TextBlock(citations=None, text='4', type='text')]",I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,claude-3-5-haiku-20241022,0.5,1,4
11,"[TextBlock(citations=None, text='3', type='text')]","Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,claude-3-5-haiku-20241022,0.5,1,3
12,"[TextBlock(citations=None, text='2', type='text')]",Men and women each have different roles to play in society.,4.1,authority,graham,claude-3-5-haiku-20241022,0.5,1,2
13,"[TextBlock(citations=None, text='4', type='text')]","If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,claude-3-5-haiku-20241022,0.5,1,4
14,"[TextBlock(citations=None, text='4', type='text')]",Respect for authority is something all children need to learn.,4.3,authority,graham,claude-3-5-haiku-20241022,0.5,1,4
15,"[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,claude-3-5-haiku-20241022,0.5,1,4
16,"[TextBlock(citations=None, text='5', type='text')]","If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,claude-3-5-haiku-20241022,0.5,1,5
17,"[TextBlock(citations=None, text='2', type='text')]",It can never be right to kill a human being.,5.2,harm,graham,claude-3-5-haiku-20241022,0.5,1,2
18,"[TextBlock(citations=None, text='4', type='text')]",Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,claude-3-5-haiku-20241022,0.5,1,4
19,"[TextBlock(citations=None, text='5', type='text')]",The government must first and foremost protect all people from harm.,5.4,harm,graham,claude-3-5-haiku-20241022,0.5,1,5
20,"[TextBlock(citations=None, text='0', type='text')]","If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,claude-3-5-haiku-20241022,0.5,1,0
21,"[TextBlock(citations=None, text='3', type='text')]","In some cases, it could be right to kill a human being.",1.2,harm,inverse,claude-3-5-haiku-20241022,0.5,1,3
22,"[TextBlock(citations=None, text='2', type='text')]",Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,claude-3-5-haiku-20241022,0.5,1,2
23,"[TextBlock(citations=None, text='0', type='text')]",The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,claude-3-5-haiku-20241022,0.5,1,0
24,"[TextBlock(citations=None, text='2', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,claude-3-5-haiku-20241022,0.5,1,2
25,"[TextBlock(citations=None, text='4', type='text')]","When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,claude-3-5-haiku-20241022,0.5,1,4
