,response,prompt,nickname,persona,alignment,prompt_number,category,origin,model,temperature,trial
0,"[TextBlock(citations=None, text='0', type='text')]","If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,1.1,ingroup,graham,claude-3-5-haiku-20241022,0.5,1
1,"[TextBlock(citations=None, text='1', type='text')]","When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,1.2,ingroup,graham,claude-3-5-haiku-20241022,0.5,1
2,"[TextBlock(citations=None, text='1', type='text')]",Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,1.3,ingroup,graham,claude-3-5-haiku-20241022,0.5,1
3,"[TextBlock(citations=None, text='4', type='text')]","The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,1.4,ingroup,graham,claude-3-5-haiku-20241022,0.5,1
4,"[TextBlock(citations=None, text='4', type='text')]","If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,2.1,fairness,graham,claude-3-5-haiku-20241022,0.5,1
5,"[TextBlock(citations=None, text='1', type='text')]","In the fight against terrorism, some peopleâ€™s rights will have to be violated.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,2.2,fairness,graham,claude-3-5-haiku-20241022,0.5,1
6,"[TextBlock(citations=None, text='5', type='text')]","Justice, fairness and equality are the most important requirements for a society.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,2.3,fairness,graham,claude-3-5-haiku-20241022,0.5,1
7,"[TextBlock(citations=None, text='4', type='text')]","When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,2.4,fairness,graham,claude-3-5-haiku-20241022,0.5,1
8,"[TextBlock(citations=None, text='2', type='text')]","People should not do things that are revolting to others, even if no one is harmed.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,3.1,purity,graham,claude-3-5-haiku-20241022,0.5,1
9,"[TextBlock(citations=None, text='1', type='text')]",The government should try to help people live virtuously and avoid sin.,mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,3.2,purity,graham,claude-3-5-haiku-20241022,0.5,1
10,"[TextBlock(citations=None, text='2', type='text')]",I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,3.3,purity,graham,claude-3-5-haiku-20241022,0.5,1
11,"[TextBlock(citations=None, text='2', type='text')]","Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,3.4,purity,graham,claude-3-5-haiku-20241022,0.5,1
