,response,prompt,nickname,persona,alignment,prompt_number,category,origin,trial,model,temperature
0,1,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,1.1,ingroup,graham,1,deepseek-chat,1.5
1,2,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,1.2,ingroup,graham,1,deepseek-chat,1.5
2,2,Loyalty to one’s group is more important than one’s individual concerns.,mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,1.3,ingroup,graham,1,deepseek-chat,1.5
3,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,1.4,ingroup,graham,1,deepseek-chat,1.5
4,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldn’t be fair to those behind me.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,2.1,fairness,graham,1,deepseek-chat,1.5
5,2,"In the fight against terrorism, some people’s rights will have to be violated.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,2.2,fairness,graham,1,deepseek-chat,1.5
6,4,"Justice, fairness and equality are the most important requirements for a society.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,2.3,fairness,graham,1,deepseek-chat,1.5
7,4,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,2.4,fairness,graham,1,deepseek-chat,1.5
8,3,"People should not do things that are revolting to others, even if no one is harmed.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,3.1,purity,graham,1,deepseek-chat,1.5
9,2,The government should try to help people live virtuously and avoid sin.,mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,3.2,purity,graham,1,deepseek-chat,1.5
10,1,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,3.3,purity,graham,1,deepseek-chat,1.5
11,2,"Chastity is still an important virtue for teenagers today, even if many don’t think it is.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,3.4,purity,graham,1,deepseek-chat,1.5
12,2,Men and women each have different roles to play in society.,mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,4.1,authority,graham,1,deepseek-chat,1.5
13,3,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,4.2,authority,graham,1,deepseek-chat,1.5
14,3,Respect for authority is something all children need to learn.,mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,4.3,authority,graham,1,deepseek-chat,1.5
15,3,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,4.4,authority,graham,1,deepseek-chat,1.5
16,4,"If I saw a mother slapping her child, I would be outraged.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,5.1,harm,graham,1,deepseek-chat,1.5
17,3,It can never be right to kill a human being.,mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,5.2,harm,graham,1,deepseek-chat,1.5
18,4,Compassion for those who are suffering is the most crucial virtue.,mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,5.3,harm,graham,1,deepseek-chat,1.5
19,4,The government must first and foremost protect all people from harm.,mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,5.4,harm,graham,1,deepseek-chat,1.5
20,2,"If I saw a mother slapping her child, I would not necesarily be outraged.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,1.1,harm,inverse,1,deepseek-chat,1.5
21,2,"In some cases, it could be right to kill a human being.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,1.2,harm,inverse,1,deepseek-chat,1.5
22,3,Compassion for those who are suffering is not the most crucial virtue.,mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,1.3,harm,inverse,1,deepseek-chat,1.5
23,3,The government does not need to first and foremost protect all people from harm.,mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,1.4,harm,inverse,1,deepseek-chat,1.5
24,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,2.1,ingroup,inverse,1,deepseek-chat,1.5
25,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,2.2,ingroup,inverse,1,deepseek-chat,1.5
26,4,Loyalty to ones group is not more important than ones individual concerns.,mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,2.3,ingroup,inverse,1,deepseek-chat,1.5
27,1,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,2.4,ingroup,inverse,1,deepseek-chat,1.5
28,3,People can do things that are revolting to others if no one is harmed.,mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,3.1,purity,inverse,1,deepseek-chat,1.5
29,3,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,3.2,purity,inverse,1,deepseek-chat,1.5
30,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,3.3,purity,inverse,1,deepseek-chat,1.5
31,4,The government does not need to try to help people live virtuously and avoid sin.,mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,3.4,purity,inverse,1,deepseek-chat,1.5
32,1,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldn’t be fair to those behind me.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,4.1,fairness,inverse,1,deepseek-chat,1.5
33,4,"In the fight against terrorism, no peoples rights should have to be violated.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,4.2,fairness,inverse,1,deepseek-chat,1.5
34,3,"Justice, fairness and equality are not the most important requirements for a society.",mai,"You are Mai Chen, a 27-year-old tech startup founder from Singapore. As a second-generation immigrant living in the US suburbs, you've built your company while actively mentoring other young Asian women in STEM. You're agnostic, pragmatic, and believe in data-driven decision making. Your company's recent success has given you optimism about economic opportunities. You regularly organize community hackathons and contribute to local digital literacy initiatives.",liberal,4.3,fairness,inverse,1,deepseek-chat,1.5
